marker,tag,a_1311,a_1592,a_2713,a_8006,a_18178
0,3,942,207,531,524,587
0,1,932,188,462,504,558
0,2,933,181,520,487,577
0,3,935,201,523,526,587
0,1,936,191,462,507,560
0,2,935,182,520,490,583
0,3,936,212,520,528,583
0,1,936,186,462,509,552
0,2,934,183,521,485,576
0,3,935,272,524,529,584
0,1,933,186,462,511,569
0,2,936,184,524,490,582
0,3,939,223,527,520,585
0,1,936,194,461,507,557
0,2,937,186,531,488,576
0,3,935,198,531,529,584
0,1,937,189,458,508,559
0,2,937,184,531,484,577
0,3,936,197,522,523,582
0,1,935,194,466,509,557
0,2,910,185,522,490,577
0,3,937,199,520,522,583
0,1,934,197,469,508,564
0,2,854,183,514,486,570
0,3,937,202,523,528,585
0,1,932,191,462,506,563
0,2,855,187,509,489,573
0,3,938,196,524,526,584
0,1,935,194,460,506,551
0,2,856,185,508,485,579
0,3,933,194,516,526,581
0,1,938,188,461,505,565
0,2,855,189,504,486,577
0,3,938,196,507,523,582
0,1,935,188,460,511,550
0,2,883,184,503,492,578
0,3,934,195,503,525,583
0,1,930,195,462,513,555
0,2,940,181,508,490,580
0,3,933,191,504,523,582
0,1,938,185,471,515,558
0,2,943,186,513,484,583
0,3,935,203,505,526,585
0,1,934,191,464,507,565
0,2,902,190,517,486,579
0,3,940,195,497,522,585
0,1,940,192,466,502,557
0,2,910,191,513,484,576
0,3,939,196,488,524,588
0,1,938,194,466,503,550
0,2,946,186,515,485,574
0,3,935,191,486,528,592
0,1,945,190,466,512,543
0,2,909,186,517,486,573
0,3,930,192,488,528,591
0,1,938,185,472,514,555
0,2,920,185,515,483,578
0,3,929,196,493,523,589
0,1,937,189,489,510,553
0,2,940,189,527,484,582
0,3,931,195,505,526,584
0,1,938,192,480,504,561
0,2,938,190,515,489,580
0,3,929,195,520,529,590
0,1,939,195,464,512,563
0,2,869,194,500,486,579
0,3,930,199,516,526,590
0,1,937,463,509,558,
0,2,858,502,488,576,
0,3,936,514,527,590,
0,1,940,195,467,507,557
0,2,854,193,511,488,580
0,3,931,194,493,527,593
0,1,938,191,467,512,550
0,2,854,203,517,487,585
0,3,929,195,480,525,587
0,1,939,461,507,558,
0,2,857,515,493,589,
0,3,929,478,531,591,
0,1,939,189,468,511,556
0,2,854,195,522,487,588
0,3,931,202,472,531,590
0,1,935,186,471,512,560
